Date,Year,Quarter,Month,Platform,Network,Program,Genre,Daypart,Advertiser,Advertiser_Industry,Campaign_ID,Ad_Duration_Sec,Region,Device_Type,Booked_Impressions,Delivered_Impressions,Fill_Rate,CPM,Gross_Revenue,Agency_Fee_Pct,Net_Revenue,Inventory_Units,Sold_Units,Under_Delivery_Flag
2024-01-01,2024,Q1,Jan,Linear TV,Metro TV,Movie Premiere,Movies,Daytime,CarePlus,Pharma,CMP-2024-5636,30,Midwest,TV,313433,299911,0.9569,19.14,5740.3,0.1,5166.27,4,4,N
2024-01-01,2024,Q1,Jan,Linear TV,Metro TV,Action Showcase,Movies,Prime,Vertex Devices,Technology,CMP-2024-5671,30,National,TV,1795606,1784031,0.9936,33.53,59818.56,0.15,50845.78,22,22,N
2024-01-01,2024,Q1,Jan,Linear TV,National One,Studio Comedy,Comedy,Prime,Pixel Systems,Technology,CMP-2024-1146,30,National,TV,385038,362619,0.9418,29.75,10787.92,0.1,9709.13,5,5,N
2024-01-01,2024,Q1,Jan,Linear TV,National One,Evening Report,News,Early Fringe,NexaTech,Technology,CMP-2024-1893,15,National,TV,211467,204843,0.9687,25.04,5129.27,0.1,4616.34,2,2,N
2024-01-01,2024,Q1,Jan,Linear TV,National One,Action Showcase,Movies,Late Night,First Capital,Finance,CMP-2024-4972,30,West,TV,925854,920333,0.994,18.61,17127.4,0.12,15072.11,16,16,N
2024-01-01,2024,Q1,Jan,Linear TV,National One,World Tonight,News,Early Fringe,ConnectMobile,Telecom,CMP-2024-6213,30,Midwest,TV,286880,289950,1.0107,27.39,7941.73,0.15,6750.47,4,4,N
2024-01-01,2024,Q1,Jan,Streaming,PlayWave,Family Movie,Movies,Early Fringe,FreshBite,Food & Beverage,CMP-2024-2443,15,National,Mobile,105864,106219,1.0034,18.99,2017.1,0.12,1775.05,1,1,N
2024-01-01,2024,Q1,Jan,Streaming,PlayWave,Family Movie,Movies,Early Fringe,NexaTech,Technology,CMP-2024-3427,30,Midwest,Web,800960,828137,1.0339,30.33,25117.4,0.1,22605.66,12,12,N
2024-01-01,2024,Q1,Jan,Streaming,PlayWave,Championship Studio,Sports,Early Fringe,Vertex Devices,Technology,CMP-2024-4083,30,National,Connected TV,1417560,1323684,0.9338,46.66,61763.1,0.1,55586.79,22,21,N
2024-01-01,2024,Q1,Jan,Streaming,PlayWave,Championship Studio,Sports,Early Fringe,NorthStar Auto,Auto,CMP-2024-7301,30,Northeast,Mobile,712147,730661,1.026,43.85,32039.48,0.1,28835.53,8,8,N
2024-01-01,2024,Q1,Jan,Linear TV,Prime Network,Action Showcase,Movies,Prime,ConnectMobile,Telecom,CMP-2024-3136,60,National,TV,1234221,1210112,0.9805,37.67,45584.92,0.1,41026.43,16,16,N
2024-01-01,2024,Q1,Jan,Linear TV,Prime Network,Reality Live,Reality,Daytime,FreshBite,Food & Beverage,CMP-2024-8065,30,National,TV,883464,929077,1.0516,17.59,16342.46,0.1,14708.21,12,12,N
2024-01-01,2024,Q1,Jan,Linear TV,Prime Network,Evening Report,News,Prime,NextLine,Telecom,CMP-2024-9206,30,South,TV,711670,664756,0.9341,33.55,22302.56,0.12,19626.25,8,7,N
2024-01-01,2024,Q1,Jan,Linear TV,Prime Network,Late Laughs,Comedy,Daytime,SoundBox,Entertainment,CMP-2024-9857,15,South,TV,1037509,1025281,0.9882,14.15,14507.73,0.1,13056.96,18,18,N
2024-01-01,2024,Q1,Jan,Streaming,StreamNow,Family Movie,Movies,Prime,NovaMed,Pharma,CMP-2024-3962,30,Midwest,Connected TV,764405,820888,1.0739,47.46,38959.34,0.1,35063.41,15,15,N
2024-01-01,2024,Q1,Jan,Streaming,StreamNow,Action Showcase,Movies,Late Night,Metro Wireless,Telecom,CMP-2024-4764,30,West,Web,508256,528805,1.0404,26.18,13844.11,0.1,12459.7,7,7,N
2024-01-01,2024,Q1,Jan,Streaming,Vista+,Evening Report,News,Daytime,NextLine,Telecom,CMP-2024-3035,15,National,Connected TV,688295,609180,0.8851,23.0,14011.14,0.15,11909.47,7,6,Y
2024-01-01,2024,Q1,Jan,Streaming,Vista+,Action Showcase,Movies,Daytime,UrbanMart,Retail,CMP-2024-8271,30,South,Mobile,560398,535277,0.9552,20.54,10994.59,0.1,9895.13,9,9,N
2024-01-02,2024,Q1,Jan,Linear TV,Metro TV,House Challenge,Reality,Prime,Golden Foods,Food & Beverage,CMP-2024-4300,15,Midwest,TV,943364,891858,0.9454,24.85,22162.67,0.15,18838.27,16,15,N
2024-01-02,2024,Q1,Jan,Linear TV,Metro TV,Studio Comedy,Comedy,Daytime,Pure Drinks,Food & Beverage,CMP-2024-7872,30,National,TV,490026,520278,1.0617,14.18,7377.54,0.15,6270.91,6,6,N
2024-01-02,2024,Q1,Jan,Linear TV,National One,Championship Studio,Sports,Daytime,Bright Pictures,Entertainment,CMP-2024-3658,15,National,TV,1281496,1210805,0.9448,17.68,21407.03,0.15,18195.98,25,24,N
2024-01-02,2024,Q1,Jan,Linear TV,National One,Live Football,Sports,Prime,Summit Motors,Auto,CMP-2024-6630,30,National,TV,1417988,1437331,1.0136,37.02,53209.99,0.12,46824.79,18,18,N
2024-01-02,2024,Q1,Jan,Linear TV,National One,City Stories,Drama,Early Morning,HealthCore Pharma,Pharma,CMP-2024-8714,60,National,TV,827961,813170,0.9821,29.0,23581.93,0.1,21223.74,11,11,N
2024-01-02,2024,Q1,Jan,Linear TV,National One,Family Nights,Comedy,Early Fringe,WellLife,Pharma,CMP-2024-9379,30,National,TV,240248,224550,0.9347,19.0,4266.45,0.12,3754.48,5,5,N
2024-01-02,2024,Q1,Jan,Streaming,PlayWave,Family Movie,Movies,Prime,UrbanMart,Retail,CMP-2024-5009,15,National,Connected TV,1047010,1059928,1.0123,30.21,32020.42,0.1,28818.38,19,19,N
2024-01-02,2024,Q1,Jan,Streaming,PlayWave,House Challenge,Reality,Early Fringe,NextLine,Telecom,CMP-2024-6208,30,Northeast,Web,369824,386611,1.0454,25.29,9777.39,0.1,8799.65,6,6,N
2024-01-02,2024,Q1,Jan,Streaming,PlayWave,Family Movie,Movies,Prime,FreshBite,Food & Beverage,CMP-2024-8064,30,National,Tablet,488320,459050,0.9401,34.66,15910.67,0.12,14001.39,6,6,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Basketball Night,Sports,Early Fringe,SoundBox,Entertainment,CMP-2024-1002,30,National,TV,360180,353782,0.9822,28.82,10196.0,0.1,9176.4,7,7,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Weekend Life,Reality,Daytime,UrbanMart,Retail,CMP-2024-1785,30,West,TV,573559,478126,0.8336,18.12,8663.64,0.12,7624.0,12,10,Y
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Classic Cinema,Movies,Early Fringe,CarePlus,Pharma,CMP-2024-1802,30,National,TV,380674,336469,0.8839,20.74,6978.37,0.1,6280.53,7,6,Y
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Live Football,Sports,Early Fringe,WellLife,Pharma,CMP-2024-2207,30,West,TV,970350,1016813,1.0479,31.26,31785.57,0.15,27017.73,14,14,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Sports Central,Sports,Prime,Pure Drinks,Food & Beverage,CMP-2024-3097,15,Midwest,TV,1629088,1743190,1.07,34.16,59547.37,0.1,53592.63,32,32,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Evening Report,News,Late Night,WaveTel,Telecom,CMP-2024-5630,15,Northeast,TV,922053,892735,0.9682,20.87,18631.38,0.15,15836.67,13,13,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,City Stories,Drama,Early Morning,PlayHouse,Entertainment,CMP-2024-7456,30,Northeast,TV,530665,543730,1.0246,18.47,10042.69,0.12,8837.57,6,6,N
2024-01-02,2024,Q1,Jan,Linear TV,Prime Network,Family Nights,Comedy,Prime,NorthStar Auto,Auto,CMP-2024-9498,15,Midwest,TV,1002655,968416,0.9659,30.69,29720.69,0.12,26154.21,18,17,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,House Challenge,Reality,Early Fringe,Harvest Brands,Food & Beverage,CMP-2024-1106,30,Midwest,Connected TV,88719,86429,0.9742,24.33,2102.82,0.12,1850.48,1,1,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Family Movie,Movies,Daytime,PlayHouse,Entertainment,CMP-2024-4694,30,National,Connected TV,672514,496818,0.7387,22.26,11059.17,0.12,9732.07,8,6,Y
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Championship Studio,Sports,Late Night,FreshBite,Food & Beverage,CMP-2024-5112,30,National,Connected TV,714624,687739,0.9624,37.66,25900.25,0.12,22792.22,8,8,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,House Challenge,Reality,Early Morning,PlayHouse,Entertainment,CMP-2024-5429,15,South,Mobile,442371,361467,0.8171,19.06,6889.56,0.12,6062.81,6,5,Y
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Championship Studio,Sports,Early Morning,Metro Wireless,Telecom,CMP-2024-6102,15,Midwest,Web,795180,794917,0.9997,31.42,24976.29,0.1,22478.66,12,12,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Basketball Night,Sports,Early Morning,NovaMed,Pharma,CMP-2024-6756,30,Northeast,Connected TV,1021959,941220,0.921,34.24,32227.37,0.1,29004.63,18,17,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Night Shift,Drama,Early Fringe,NorthStar Auto,Auto,CMP-2024-7716,30,South,Connected TV,232714,239617,1.0297,36.15,8662.15,0.1,7795.93,3,3,N
2024-01-02,2024,Q1,Jan,Streaming,StreamNow,Weekend Life,Reality,Early Fringe,Velocity Cars,Auto,CMP-2024-9436,30,Northeast,Mobile,796627,741241,0.9305,27.13,20109.87,0.12,17696.69,16,15,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Weekend Life,Reality,Prime,FreshBite,Food & Beverage,CMP-2024-2103,30,Midwest,Connected TV,640838,569332,0.8884,37.7,21463.82,0.15,18244.25,8,7,Y
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Championship Studio,Sports,Early Fringe,Summit Motors,Auto,CMP-2024-2685,15,National,Connected TV,153866,143310,0.9314,42.76,6127.94,0.12,5392.59,3,3,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Night Shift,Drama,Early Fringe,Star Studios,Entertainment,CMP-2024-2718,15,National,Connected TV,818844,785228,0.9589,28.78,22598.86,0.12,19887.0,9,9,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,House Challenge,Reality,Prime,Apex Motors,Auto,CMP-2024-4332,30,National,Tablet,298452,287171,0.9622,36.32,10430.05,0.15,8865.54,3,3,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Reality Live,Reality,Early Morning,Golden Foods,Food & Beverage,CMP-2024-7111,60,National,Connected TV,554979,515749,0.9293,22.89,11805.49,0.12,10388.83,6,6,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Action Showcase,Movies,Early Fringe,Vertex Devices,Technology,CMP-2024-8054,30,National,Tablet,586362,580641,0.9902,30.93,17959.23,0.1,16163.31,12,12,N
2024-01-02,2024,Q1,Jan,Streaming,ViewPoint,Studio Comedy,Comedy,Daytime,NextLine,Telecom,CMP-2024-8438,30,Northeast,Mobile,575361,537132,0.9336,20.19,10844.7,0.1,9760.23,8,7,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Legacy,Drama,Prime,Pixel Systems,Technology,CMP-2024-1915,30,National,TV,510180,487565,0.9557,30.36,14802.47,0.12,13026.17,8,8,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Family Movie,Movies,Prime,Harvest Brands,Food & Beverage,CMP-2024-2086,30,National,TV,1136341,1057759,0.9308,23.03,24360.19,0.12,21436.97,13,12,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Comedy Hour,Comedy,Late Night,FreshBite,Food & Beverage,CMP-2024-2677,30,South,TV,994970,970115,0.975,17.77,17238.94,0.1,15515.05,11,11,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Championship Studio,Sports,Prime,Pixel Systems,Technology,CMP-2024-3518,60,National,TV,1590749,1624697,1.0213,48.33,78521.61,0.15,66743.37,29,29,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,World Tonight,News,Early Fringe,WaveTel,Telecom,CMP-2024-4766,30,West,TV,375107,360652,0.9615,21.51,7757.62,0.1,6981.86,4,4,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Championship Studio,Sports,Daytime,FreshBite,Food & Beverage,CMP-2024-5424,15,Midwest,TV,1511706,1494273,0.9885,20.54,30692.37,0.15,26088.51,18,18,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Night Shift,Drama,Late Night,ShopSquare,Retail,CMP-2024-6024,30,Midwest,TV,1338930,1327853,0.9917,23.1,30673.4,0.1,27606.06,16,16,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Family Movie,Movies,Daytime,Union Financial,Finance,CMP-2024-7510,30,Midwest,TV,770022,757356,0.9836,19.8,14995.65,0.15,12746.3,9,9,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Family Movie,Movies,Daytime,Golden Foods,Food & Beverage,CMP-2024-7592,30,Midwest,TV,1201430,1127757,0.9387,15.1,17029.13,0.15,14474.76,20,19,N
2024-01-02,2024,Q1,Jan,Linear TV,Vista Broadcast,Reality Live,Reality,Prime,Everyday Retail,Retail,CMP-2024-8524,60,West,TV,328852,286298,0.8706,34.99,10017.57,0.12,8815.46,4,3,Y
2024-01-02,2024,Q1,Jan,Streaming,Vista+,House Challenge,Reality,Prime,NovaMed,Pharma,CMP-2024-1411,15,National,Connected TV,412344,436566,1.0587,47.1,20562.26,0.1,18506.03,7,7,N
2024-01-02,2024,Q1,Jan,Streaming,Vista+,Basketball Night,Sports,Prime,CarePlus,Pharma,CMP-2024-1842,15,South,Connected TV,437198,402709,0.9211,56.42,22720.84,0.12,19994.34,8,7,N
2024-01-02,2024,Q1,Jan,Streaming,Vista+,Sports Central,Sports,Prime,WellLife,Pharma,CMP-2024-2348,15,National,Mobile,1450869,1502376,1.0355,55.42,83261.68,0.1,74935.51,17,17,N
2024-01-02,2024,Q1,Jan,Streaming,Vista+,Studio Comedy,Comedy,Daytime,Metro Wireless,Telecom,CMP-2024-7408,30,National,Tablet,291485,295365,1.0133,24.32,7183.28,0.12,6321.29,6,6,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Morning News,News,Prime,BrightCard,Finance,CMP-2024-1884,30,West,TV,1418541,1470708,1.0368,31.1,45739.02,0.15,38878.17,17,17,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Market Desk,News,Prime,BrightCard,Finance,CMP-2024-3043,30,National,TV,1245159,1337264,1.074,32.8,43862.26,0.15,37282.92,15,15,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Comedy Hour,Comedy,Early Fringe,HealthCore Pharma,Pharma,CMP-2024-3300,30,Midwest,TV,896828,941846,1.0502,22.96,21624.78,0.15,18381.06,13,13,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,World Tonight,News,Early Fringe,SoundBox,Entertainment,CMP-2024-3866,30,Northeast,TV,529280,546582,1.0327,23.62,12910.27,0.15,10973.73,7,7,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Studio Comedy,Comedy,Prime,Star Studios,Entertainment,CMP-2024-5919,30,South,TV,1595582,1643516,1.03,26.55,43635.35,0.12,38399.11,21,21,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Live Football,Sports,Prime,Pixel Systems,Technology,CMP-2024-5967,15,National,TV,2889799,2776360,0.9607,42.61,118300.7,0.1,106470.63,40,38,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Night Shift,Drama,Late Night,WellLife,Pharma,CMP-2024-6064,30,National,TV,730381,679428,0.9302,26.8,18208.67,0.12,16023.63,8,7,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Comedy Hour,Comedy,Late Night,Everyday Retail,Retail,CMP-2024-7561,15,National,TV,764047,713455,0.9338,17.3,12342.77,0.12,10861.64,10,9,N
2024-01-03,2024,Q1,Jan,Linear TV,Metro TV,Championship Studio,Sports,Prime,First Capital,Finance,CMP-2024-9016,30,National,TV,2344732,2261484,0.9645,45.73,103417.66,0.12,91007.54,48,46,N
2024-01-03,2024,Q1,Jan,Linear TV,National One,Basketball Night,Sports,Prime,NovaMed,Pharma,CMP-2024-3261,30,National,TV,1413291,1303208,0.9221,50.69,66059.61,0.1,59453.65,17,16,N
2024-01-03,2024,Q1,Jan,Linear TV,National One,Championship Studio,Sports,Prime,Metro Wireless,Telecom,CMP-2024-5318,30,National,TV,704586,728467,1.0339,41.49,30224.1,0.12,26597.21,9,9,N
2024-01-03,2024,Q1,Jan,Linear TV,National One,Morning News,News,Prime,CloudWorks,Technology,CMP-2024-8526,15,Midwest,TV,800258,752883,0.9408,29.26,22029.36,0.12,19385.84,15,14,N
2024-01-03,2024,Q1,Jan,Streaming,PlayWave,Movie Premiere,Movies,Late Night,HomeHub,Retail,CMP-2024-2099,30,National,Connected TV,253119,202092,0.7984,31.48,6361.86,0.15,5407.58,3,2,Y
2024-01-03,2024,Q1,Jan,Streaming,PlayWave,Comedy Hour,Comedy,Daytime,First Capital,Finance,CMP-2024-2275,30,National,Web,313010,330575,1.0561,23.39,7732.15,0.15,6572.33,5,5,N
